player,position,team
Patrizio Masini,LT,Genoa
Pablo Marín,LT,Real Sociedad
Gabriel Osho,ZG,Auxerre
Patrick Ciurria,LT.ZG,Monza
Pablo Barrios,LT,Atlético Madrid
Patrick Mainka,ZG,Heidenheim
Patrick Osterhage,LT,Freiburg
Florian Sotoca,AT.LT,Lens
Flynn Downes,LT,Southampton
Quentin Merlin,ZG,Marseille
Rabby Nzingoula,LT,Montpellier
Remo Freuler,LT,Bologna
Renato Tapia,LT.ZG,Leganés
Rani Khedira,LT,Union Berlin
Roberto Navarro,LT.AT,Mallorca
Rico Lewis,ZG.LT,Manchester City
Ridgeciano Haps,ZG,Venezia
Ondrej Duda,LT,Hellas Verona
Nnamdi Collins,ZG,Eint Frankfurt
Omar Alderete,ZG,Getafe
András Schäfer,LT,Union Berlin
Pablo Ibáñez,LT,Osasuna
Omar Mascarell,LT,Mallorca
Andy Diouf,LT,Lens
Nuno Mendes,ZG,Paris S-G
Guela Doué,ZG,Strasbourg
Cristhian Mosquera,ZG,Valencia
Cristian Cásseres Jr.,LT,Toulouse
Guillermo Maripán,ZG,Torino
Federico Gatti,ZG,Juventus
Felix Passlack,ZG.LT,Bochum
Alexsandro Ribeiro,ZG,Lille
Alieu Fadera,AT.ZG,Como
Nemanja Gudelj,LT.ZG,Sevilla
Chris Richards,ZG,Crystal Palace
Chrislain Matsima,ZG,Augsburg
Angelo Fulgini,LT.AT,Lens
Angelo Stiller,LT,Stuttgart
Anthony Caci,ZG,Mainz 05
Natan,ZG,Betis
Harry Maguire,ZG,Manchester Utd
Hassane Kamara,ZG,Udinese
Neco Williams,ZG,Nott'ham Forest
Myles Lewis-Skelly,ZG,Arsenal
